BBL,ADDRESS,XCOORD,YCOORD
1004060002,196 AVENUE A,-73.980998,40.729163
1003980028,196 EAST 3 STREET,-73.983491,40.722637
1003990039,197 EAST 3 STREET,-73.983207,40.723015
1004000059,197 EAST 4 STREET,-73.984065,40.724176
1003900057,197 EAST 7 STREET,-73.980229,40.724871
1004400001,198 1 AVENUE,-73.983137,40.730017
1004060003,198 AVENUE A,-73.980884,40.729195
1004060038,198 AVENUE B,-73.979087,40.728321
1003890017,198 EAST 7 STREET,-73.980443,40.724516
1004400036,199 AVENUE A,-73.981437,40.729431
1003950003,199 AVENUE B,-73.978554,40.728293
1004000058,199 EAST 4 STREET,-73.983986,40.724142
1003900055,199 EAST 7 STREET,-73.980122,40.72486
1003720004,20 AVENUE C,-73.980699,40.721171
1004060004,200 AVENUE A,-73.980838,40.729259
1004060037,200 AVENUE B,-73.979054,40.728365
1003890018,200 EAST 7 STREET,-73.980363,40.724483
1004400035,201 AVENUE A,-73.981393,40.729492
1004000057,201 EAST 4 STREET,-73.983908,40.724109
1004400003,202 1 AVENUE,-73.983079,40.73013
1004060005,202 AVENUE A,-73.980793,40.729322
1004060036,202 AVENUE B,-73.979022,40.72841
1003890019,202 EAST 7 STREET,-73.980285,40.724448
1004400034,203 AVENUE A,-73.981349,40.729553
1004000056,203 EAST 4 STREET,-73.983829,40.724076
1003900054,203 EAST 7 STREET,-73.980028,40.724815
1004060006,204 AVENUE A,-73.980748,40.729384
1004060035,204 AVENUE B,-73.97899,40.728454
1003890020,204 EAST 7 STREET,-73.980205,40.724416
1004400033,205 AVENUE A,-73.981303,40.729616
1003950006,205 AVENUE B,-73.978464,40.728418
1003950022,205 AVENUE C,-73.97683,40.727827
1004000055,205 EAST 4 STREET,-73.98375,40.724042
1004060007,206 AVENUE A,-73.980701,40.729448
1004060034,206 AVENUE B,-73.97904,40.728572
1003990011,206 EAST 4 STREET,-73.984164,40.72362
1003890021,206 EAST 7 STREET,-73.980126,40.724382
1004400004,206 GARAGE 1 AVENUE,-73.982903,40.730135
1004400032,207 AVENUE A,-73.981257,40.72968
1003950007,207 AVENUE B,-73.978422,40.728477
1004000054,207 EAST 4 STREET,-73.983669,40.724008
1003900052,207 EAST 7 STREET,-73.979934,40.724775
1004400006,208 1 AVENUE,-73.982999,40.730253
1004060008,208 AVENUE A,-73.980653,40.729514
1003890022,208 EAST 7 STREET,-73.980008,40.724333
1003950008,209 AVENUE B,-73.978376,40.728539
1004000053,209 EAST 4 STREET,-73.983591,40.723975
1003900050,209 EAST 7 STREET,-73.979808,40.724721
1003850002,21 AVENUE B,-73.983082,40.722132
1003850038,21 AVENUE C,-73.981091,40.721382
1004400007,210 1 AVENUE,-73.982956,40.730328
1004060032,210 AVENUE B,-73.978895,40.728606
1004410035,211 AVENUE A,-73.981041,40.729976
1004000052,211 EAST 4 STREET,-73.983523,40.723946
1003850011,212 EAST 3 STREET,-73.982674,40.722301
1003890024,212 EAST 7 STREET,-73.979851,40.724266
1004000050,213 EAST 4 STREET,-73.983416,40.723901
1004400008,214 1 AVENUE,-73.982882,40.730423
1003830001,214 AVENUE C,-73.974736,40.727576
1003850063,214 EAST 2 STREET,-73.982864,40.722041
1004410033,215 AVENUE A,-73.98095,40.730102
1003840012,215 EAST 2 STREET,-73.982982,40.721593
1003860063,215 EAST 3 STREET,-73.982244,40.722609
1003900046,215 EAST 7 STREET,-73.979636,40.72465
1004070037,216 AVENUE B,-73.978663,40.728917
1003890026,216 EAST 7 STREET,-73.979732,40.724218
1003860062,217 EAST 3 STREET,-73.982172,40.722575
1004000049,217 EAST 4 STREET,-73.983301,40.723852
1004410001,218 1 AVENUE,-73.982743,40.730653
1004070005,218 AVENUE A,-73.980328,40.72996
1004070036,218 AVENUE B,-73.978621,40.728975
1003850060,218 EAST 2 STREET,-73.982681,40.721956
1003850014,218 EAST 3 STREET,-73.982413,40.722182
1003890027,218 EAST 7 STREET,-73.979655,40.724183
